PREMISE_SERIALIZED,SUBJECT,PREDICATE,OBJECT
"[['Flood', 'Causes', 'Evacuation of residents']]",Flood,Causes,Evacuation of residents
"[['Flood', 'Causes', 'Loss of life']]",Flood,Causes,Loss of life
"[['Flood warning system', 'Recommends', 'Evacuation of residents']]",Flood warning system,Recommends,Evacuation of residents
"[['Flood', 'Causes', 'Health and safety risks']]",Flood,Causes,Health and safety risks
"[['Flood', 'Causes', 'Homes damage']]",Flood,Causes,Homes damage
"[['Flood', 'Causes', 'Traffic disruption']]",Flood,Causes,Traffic disruption
"[['Tsunami', 'Causes', 'Flood']]",Tsunami,Causes,Flood
"[['Storm surges', 'Causes', 'Flood']]",Storm surges,Causes,Flood
"[['Siphoning', 'Causes', 'Flood']]",Siphoning,Causes,Flood
"[['Heavy rainfall', 'Causes', 'Flood']]",Heavy rainfall,Causes,Flood
"[['Flood', 'Causes', 'Business disruption']]",Flood,Causes,Business disruption
"[['Dam failure', 'Causes', 'Flood']]",Dam failure,Causes,Flood
"[['Flood warning system', 'Predicts', 'Flood']]",Flood warning system,Predicts,Flood
"[['River overflow', 'Causes', 'Flood']]",River overflow,Causes,Flood
"[['Flood', 'Causes', 'Property damage']]",Flood,Causes,Property damage
"[['Flood', 'Causes', 'Bridge damage']]",Flood,Causes,Bridge damage
"[['Snowmelt', 'Causes', 'Flood']]",Snowmelt,Causes,Flood
"[['Flood', 'Causes', 'Buildings damage']]",Flood,Causes,Buildings damage
"[['Flood', 'Causes', 'Railroads damage']]",Flood,Causes,Railroads damage
"[['Flood warning system', 'Generates', 'Alerts']]",Flood warning system,Generates,Alerts
"[['Flood', 'Causes', 'Vehicles damage']]",Flood,Causes,Vehicles damage
"[['Flood warning system', 'Analyzes', 'Forecasting']]",Flood warning system,Analyzes,Forecasting
"[['Soil erosion', 'Leads to', 'Loss of life']]",Soil erosion,Leads to,Loss of life
"[['Flood warning system', 'Uses', 'Sensors']]",Flood warning system,Uses,Sensors
"[['Flood', 'Causes', 'Soil erosion']]",Flood,Causes,Soil erosion
"[['Flood', 'Causes', 'Environmental damage']]",Flood,Causes,Environmental damage
"[['Cameras', 'Detect', 'Flood']]",Cameras,Detect,Flood
"[['Flood', 'Impacts', 'Water quality']]",Flood,Impacts,Water quality
"[['River flood warning system', 'Generates', 'Alerts']]",River flood warning system,Generates,Alerts
"[['Floodwalls', 'Mitigate', 'Flood']]",Floodwalls,Mitigate,Flood
"[['Sensors', 'Detect', 'Flood']]",Sensors,Detect,Flood
"[['Detention ponds', 'Mitigate', 'Flood']]",Detention ponds,Mitigate,Flood
"[['Consumer cameras', 'Detect', 'Flood']]",Consumer cameras,Detect,Flood
"[['River flood warning system', 'Detects', 'River overflow']]",River flood warning system,Detects,River overflow
"[['Dam failure', 'Due to', 'Overtopping']]",Dam failure,Due to,Overtopping
"[['Stormwater basin', 'Mitigate', 'Flood']]",Stormwater basin,Mitigate,Flood
"[['Weather prediction', 'Anticipates', 'Storm surges']]",Weather prediction,Anticipates,Storm surges
"[['Floodways', 'Mitigate', 'Flood']]",Floodways,Mitigate,Flood
"[['Weather forecasting system', 'Anticipates', 'Storm surges']]",Weather forecasting system,Anticipates,Storm surges
"[['Retention ponds', 'Mitigate', 'Flood']]",Retention ponds,Mitigate,Flood
"[['River flood warning system', 'Uses', 'Sensors']]",River flood warning system,Uses,Sensors
"[['Dam', 'Avoids', 'Flood']]",Dam,Avoids,Flood
"[['Dam', 'Provides', 'Flood control']]",Dam,Provides,Flood control
"[['River flood warning system', 'Analyzes', 'Data']]",River flood warning system,Analyzes,Data
"[['Floodways', 'Diverts', 'River overflow']]",Floodways,Diverts,River overflow
"[['Dam failure', 'Due to', 'Inadequate maintenance']]",Dam failure,Due to,Inadequate maintenance
"[['Earthquake', 'Causes', 'Tsunami']]",Earthquake,Causes,Tsunami
"[['Soil erosion', 'Leads to', 'Health and safety risks']]",Soil erosion,Leads to,Health and safety risks
"[['Dam', 'Fails', 'Dam failure']]",Dam,Fails,Dam failure
"[['Remote cameras', 'Detect', 'Flood']]",Remote cameras,Detect,Flood
"[['Retention ponds', 'Contribute to', 'Flood control']]",Retention ponds,Contribute to,Flood control
"[['Dam failure', 'Due to', 'Material defects']]",Dam failure,Due to,Material defects
"[['Water quality', 'Impacts', 'Health and safety risks']]",Water quality,Impacts,Health and safety risks
"[['Heavy rainfall', 'Leads to', 'River overflow']]",Heavy rainfall,Leads to,River overflow
"[['Stormwater basin', 'Uses', 'Sensors']]",Stormwater basin,Uses,Sensors
